Symptom,Disease,Specialist,Disease_Label,Description
 joint_pain  neck_pain  knee_pain  hip_joint_pain  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 joint_pain  neck_pain  knee_pain  hip_joint_pain  swelling_joints  painful_walking,Osteoarthristis,Rheumatologists,31,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 muscle_weakness  stiff_neck  swelling_joints  movement_stiffness  painful_walking,Arthritis,Rheumatologists,5,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
 vomiting  headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  loss_of_balance,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  spinning_movements  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 vomiting  headache  nausea  loss_of_balance  unsteadiness,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist,0,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo ??the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
 skin_rash  pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  blackheads,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  pus_filled_pimples  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 skin_rash  blackheads  scurring,Acne,Dermatologist,2,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
 burning_micturition  bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  foul_smell_of urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  red_sore_around_nose,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
itching  skin_rash  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
 skin_rash  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  skin_rash  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  skin_rash  nodal_skin_eruptions,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
 skin_rash  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  skin_rash  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  skin_rash  nodal_skin_eruptions,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
itching  skin_rash  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
 continuous_sneezing  shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  chills,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  chills,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 continuous_sneezing  shivering  chills  watering_from_eyes,Allergy,Allergist,4,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
 stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  vomiting  cough,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 acidity  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  vomiting  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
 stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain,GERD,Gastroenterologist,16,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
 vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
itching  vomiting  yellowish_skin  loss_of_appetite  abdominal_pain  yellowing_of_eyes,Chronic cholestasis,Hepatologist,9,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
