Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,Symptom 20,Symptom 21,Symptom 22,Symptom 23,Symptom 24,Symptom 25,Symptom 26,Symptom 27,Symptom 28
paranoia,hallucinations auditory,hallucinations visual,agitation,irritable mood,verbal auditory hallucinations,feeling suicidal,suicidal,terrify,neologism,homelessness,energy increased,mood depressed,decompensation,scar tissue,blackout,loose associations,,,,,,,,,,,,
pancreatitis,vomiting,pain abdominal,nausea,pain,diarrhea,stool color yellow,rigor - temperature-associated observation,apyrexial,sore to touch,,,,,,,,,,,,,,,,,,,
incontinence,paraparesis,seizure,asthenia,urge incontinence,unconscious state,aura,moody,fear of falling,tremor,spasm,unhappy,syncope,fall,stiffness,unresponsiveness,,,,,,,,,,,,,
paroxysmal  dyspnea,orthopnea,shortness of breath,dyspnea on exertion,jugular venous distention,rale,pain chest,palpitation,sweating increased,weight gain,cough,dyspnea,,,,,,,,,,,,,,,,,
hernia,pain abdominal,pain,hyperventilation,excruciating pain,gag,nausea,posturing,hemiplegia,sore to touch,haemorrhage,apyrexial,food intolerance,pulse absent,asthenia,mass of body structure,thicken,,,,,,,,,,,,
carcinoma prostate,hematuria,dysesthesia,asthenia,polymyalgia,passed stones,pleuritic pain,guaiac positive,rale,breath sounds decreased,urge incontinence,dysuria,diarrhea,vertigo,qt interval prolonged,ataxia,paresis,hemianopsia homonymous,tumor cell invasion,hemodynamically stable,mass of body structure,rhonchus,orthostasis,decreased body weight,,,,,
edema  pulmonary,urgency of micturition,shortness of breath,rale,tachypnea,orthopnea,Heberden's node,jugular venous distention,dyspnea,sweating increased,patient non compliance,chest discomfort,hyperkalemia,sinus rhythm,pain chest,hypotension,wheezing,,,,,,,,,,,,
lymphatic  diseases,pain,mass of body structure,night sweat,splenomegaly,lesion,chill,decreased body weight,swelling,fever,hyperacusis,fremitus,non-productive cough,egophony,redness,hepatomegaly,fatigue,,,,,,,,,,,,
stenosis  aortic valve,dyspnea on exertion,syncope,chest discomfort,systolic murmur,sciatica,angina pectoris,pain chest,frothy sputum,bradycardia,shortness of breath,pain,,,,,,,,,,,,,,,,,
carcinoma breast,mass in breast,mass of body structure,paresthesia,retropulsion,erythema,difficulty,lesion,estrogen use,burning sensation,dyspnea,swelling,formication,,,,,,,,,,,,,,,,
schizophrenia,hallucinations auditory,hypersomnolence,irritable mood,verbal auditory hallucinations,patient non compliance,agitation,suicidal,worry,hallucinations visual,underweight,homelessness,,,,,,,,,,,,,,,,,
diverticulitis,pain abdominal,abscess bacterial,dullness,red blotches,diarrhea,sore to touch,dysuria,pain,vomiting,sinus rhythm,colic abdominal,apyrexial,abdominal tenderness,fever,unsteady gait,thicken,urgency of micturition,anorexia,monoclonal,constipation,,,,,,,,
overload  fluid,rale,jugular venous distention,hyperkalemia,orthopnea,shortness of breath,sleepy,weight gain,hypokalemia,hypotension,swelling,distended abdomen,,,,,,,,,,,,,,,,,
ulcer  peptic,pain abdominal,paraparesis,nausea,vomiting,polymyalgia,out of breath,pain chest,hemiplegia,gurgle,hunger,apyrexial,nervousness,,,,,,,,,,,,,,,,
osteomyelitis,pain,redness,prostate tender,fever,difficulty passing urine,sore to touch,swelling,apyrexial,erythema,abscess bacterial,pain foot,urinary hesitation,,,,,,,,,,,,,,,,
gastritis,heme positive,pain abdominal,vomiting,disequilibrium,nausea,intoxication,haemorrhage,guaiac positive,pain,decreased body weight,sore to touch,dizziness,,,,,,,,,,,,,,,,
bacteremia,fever,chill,flushing,unresponsiveness,indifferent mood,urinoma,vomiting,distended abdomen,hypoalbuminemia,pustule,prostatism,diarrhea,abdominal tenderness,pleuritic pain,decreased translucency,pallor,,,,,,,,,,,,
failure  kidney,orthopnea,oliguria,slowing of urinary stream,extreme exhaustion,unresponsiveness,hypotension,enuresis,shortness of breath,haemorrhage,prostatism,no status change,bedridden,fatigue,,,,,,,,,,,,,,,
sickle  cell anemia,breakthrough pain,pain back,pain,shortness of breath,snuffle,pain chest,pain abdominal,hepatosplenomegaly,green sputum,apyrexial,headache,,,,,,,,,,,,,,,,,
failure  heart,orthopnea,fatigue,dyspnea on exertion,dyspnea,shortness of breath,pansystolic murmur,jugular venous distention,systolic ejection murmur,hypotension,angina pectoris,hypokinesia,,,,,,,,,,,,,,,,,
upper  respiratory infection,cough,throat sore,wheezing,shortness of breath,labored breathing,fever,stuffy nose,non-productive cough,snuffle,indifferent mood,egophony,barking cough,polymyalgia,pleuritic pain,night sweat,dyspnea,productive cough,decreased translucency,rhonchus,rapid shallow breathing,apyrexial,noisy respiration,nasal discharge present,emphysematous change,frail,cystic lesion,symptom aggravating factors,hemodynamically stable
hepatitis,ascites,spontaneous rupture of membranes,tachypnea,pain abdominal,pruritus,anorexia,transaminitis,projectile vomiting,chill,distress respiratory,fever,vomiting,,,,,,,,,,,,,,,,
hypertension  pulmonary,shortness of breath,Stahli's line,heavy legs,breath sounds decreased,neck stiffness,dyspnea on exertion,cyanosis,hypotension,left atrial hypertrophy,,,,,,,,,,,,,,,,,,,
deglutition  disorder,paresthesia,titubation,dysarthria,painful swallowing,hoarseness,stridor,spasm,asthenia,dysdiadochokinesia,ataxia,achalasia,decreased body weight,stiffness,lesion,side pain,,,,,,,,,,,,,
gout,hot flush,pain,redness,swelling,erythema,emphysematous change,sore to touch,hypokinesia,ascites,patient non compliance,,,,,,,,,,,,,,,,,,
thrombocytopaenia,ecchymosis,monocytosis,posterior rhinorrhea,haemorrhage,tachypnea,fever,pruritus,hypotension,fatigue,,,,,,,,,,,,,,,,,,,
hypoglycemia,unresponsiveness,hypothermia,natural,incoherent,qt interval prolonged,claudication,unconscious state,clammy skin,polyuria,distress respiratory,hypotension,,,,,,,,,,,,,,,,,
pneumonia  aspiration,mediastinal shift,fever,clonus,mental status changes,decreased translucency,unresponsiveness,extreme exhaustion,stupor,seizure,transaminitis,hemiplegia,cough,gurgle,pain,diarrhea,pain abdominal,,,,,,,,,,,,
colitis,fever,thicken,green sputum,vomiting,nausea and vomiting,awakening early,pain,nausea,chill,tenesmus,urge incontinence,pain abdominal,hemodynamically stable,,,,,,,,,,,,,,,
diverticulosis,fecaluria,constipation,abscess bacterial,heme positive,lightheadedness,diarrhea,haemorrhage,pain,projectile vomiting,pneumatouria,cystic lesion,anorexia,nausea,feeling suicidal,feeling hopeless,,,,,,,,,,,,,
nan,hallucinations auditory,sleeplessness,suicidal,motor retardation,weepiness,unable to concentrate,todd paralysis,worry,fatigue,tremor,alcoholic withdrawal symptoms,agitation,unresponsiveness,blackout,withdraw,difficulty,irritable mood,sensory discomfort,drowsiness,formication,unconscious state,fever,cough,,,,,
suicide  attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pneumocystis  carinii pneumonia,yellow sputum,cachexia,chill,decreased body weight,productive cough,myalgia,diarrhea,neck stiffness,hacking cough,dyspareunia,hypokalemia,dyspnea on exertion,poor dentition,transaminitis,non-productive cough,headache,floppy,spontaneous rupture of membranes,,,,,,,,,,
hepatitis  B,inappropriate affect,tachypnea,yellow sputum,projectile vomiting,poor feeding,pain abdominal,abdominal tenderness,wheelchair bound,moan,,,,,,,,,,,,,,,,,,,
parkinson  disease,achalasia,fall,stiffness,withdraw,agitation,hemiplegia,difficulty,unresponsiveness,syncope,facial paresis,orthostasis,worry,sleepy,hematuria,tremor,night sweat,mass of body structure,,,,,,,,,,,
lymphoma,lesion,fever,welt,transaminitis,decreased body weight,ataxia,tinnitus,hydropneumothorax,superimposition,haemoptysis,tired,polydypsia,difficulty passing urine,,,,,,,,,,,,,,,
hyperglycemia,sore to touch,pruritus,feeling strange,pustule,cushingoid habitus,decreased body weight,mood depressed,estrogen use,wheezing,ascites,seizure,,,,,,,,,,,,,,,,,
encephalopathy,uncoordination,asterixis,haemorrhage,sleepy,absences finding,posturing,aura,tonic seizures,debilitation,consciousness clear,unresponsiveness,thicken,hypokinesia,,,,,,,,,,,,,,,
tricuspid  valve insufficiency,shortness of breath,pain,vomiting,nausea,bradycardia,pain abdominal,fever,cicatrisation,mediastinal shift,impaired cognition,,,,,,,,,,,,,,,,,,
Alzheimer's  disease,drool,agitation,nightmare,rhonchus,consciousness clear,pin-point pupils,bedridden,frail,tremor resting,hyperkalemia,facial paresis,groggy,muscle twitch,wheelchair bound,tremor,cough,fever,,,,,,,,,,,
oral  candidiasis,diarrhea,throat sore,decreased body weight,chill,headache,abdominal tenderness,patient non compliance,photophobia,night sweat,painful swallowing,poor dentition,transaminitis,non-productive cough,adverse effect,abdominal bloating,,,,,,,,,,,,,
neuropathy,asthenia,numbness,nausea and vomiting,awakening early,hydropneumothorax,superimposition,fatigability,tenesmus,pain,slowing of urinary stream,,,,,,,,,,,,,,,,,,
kidney  disease,shortness of breath,hyperkalemia,pain chest,fever,gravida 0,bleeding of vagina,,,,,,,,,,,,,,,,,,,,,,
fibroid  tumor,para 2,haemorrhage,abortion,intermenstrual heavy bleeding,hypotonic,previous pregnancies 2,shortness of breath,fever,heartburn,primigravida,abnormally  hard consistency,proteinemia,,,,,,,,,,,,,,,,
glaucoma,fall,distended  abdomen,unsteady  gait,paresthesia,hyponatremia,agitation,unconscious  state,burning  sensation,lesion,mass of body structure,,,,,,,,,,,,,,,,,,
neoplasm  metastasis,thicken,tumor cell invasion,metastatic lesion,pain neck,lung nodule,pain,pain abdominal,food intolerance,mass of body structure,atypia,,,,,,,,,,,,,,,,,,
carcinoma colon,lesion,prostatism,constipation,general discomfort,diarrhea,pain abdominal,urinary hesitation,dizzy spells,shooting pain,bradycardia,vomiting,systolic ejection murmur,nausea,hyperemesis,polydypsia,,,,,,,,,,,,,
ketoacidosis  diabetic,polyuria,vomiting,nausea,pain abdominal,milky,feeling strange,gurgle,nervousness,abdominal tenderness,regurgitates after swallowing,vision blurred,urinary hesitation,diarrhea,seizure,aura,,,,,,,,,,,,,
tonic-clonic seizures,drowsiness,lip smacking,myoclonus,tremor,phonophobia,rolling of eyes,sleepy,hirsutism,moody,muscle twitch,unresponsiveness,headache,ambidexterity,absences finding,spasm,decreased body weight,tumor cell invasion,,,,,,,,,,,
malignant  neoplasms,pulsus paradoxus,gravida 10,mass of body structure,lesion,heartburn,night sweat,thicken,chill,decreased translucency,pain abdominal,dullness,food intolerance,distress respiratory,hypotension,,,,,,,,,,,,,,
respiratory  failure,hemiplegia,snore,unresponsiveness,productive cough,dyspnea,tachypnea,hyperkalemia,hypokinesia,sinus rhythm,general unsteadiness,bruit,consciousness clear,shortness of breath,lesion,redness,,,,,,,,,,,,,
melanoma,mass of body structure,paraparesis,fever,gravida 0,pain,pruritus,mass in breast,vomiting,diarrhea,,,,,,,,,,,,,,,,,,,
gastroenteritis,pain abdominal,breath-holding spell,nausea,decreased body weight,sore to touch,scleral icterus,fever,myalgia,hyponatremia,retch,mass of body structure,decreased body weight,,,,,,,,,,,,,,,,
carcinoma of lung,lesion,cough,lung nodule,shortness of breath,haemoptysis,debilitation,gurgle,ache,rale,night sweat,decreased translucency,asthenia,metastatic lesion,agitation,irritable mood,,,,,,,,,,,,,
manic  disorder,energy increased,suicidal,hypersomnia,feeling suicidal,blanch,hallucinations auditory,hallucinations visual,elation,verbal auditory hallucinations,feeling hopeless,difficulty,decompensation,verbally abusive behavior,suicidal,feeling suicidal,,,,,,,,,,,,,
personality  disorder,nightmare,feeling hopeless,transsexual,hallucinations auditory,irritable mood,sleeplessness,agitation,weepiness,mood depressed,scratch marks,nausea and vomiting,extreme exhaustion,side pain,worry,enuresis,homelessness,nervousness,ascites,pruritus,,,,,,,,,
primary  carcinoma of the liver cells,mass of body structure,splenomegaly,lesion,paresis,tumor cell invasion,room spinning,haemorrhage,thicken,indifferent mood,cachexia,hypothermia,natural,pain abdominal,hepatomegaly,hematocrit decreased,stupor,decreased body weight,shortness of breath,cough,,,,,,,,,
emphysema  pulmonary,behavior showing increased motor activity,scar tissue,dyspnea on exertion,coordination abnormal,myalgia,hypercapnia,clammy skin,has religious belief,room spinning,moan,night sweat,cachexia,symptom aggravating factors,dyspnea,rale,flushing,painful swallowing,arthralgia,choke,tenesmus,constipation,,,,,,,
hemorrhoids,haemorrhage,bowel sounds decreased,decreased stool caliber,nausea and vomiting,hunger,diarrhea,dizziness,hyponatremia,clonus,pain,achalasia,burning sensation,guaiac positive,numbness of hand,wheezing,cough,,,,,,,,,,,,
spasm  bronchial,shortness of breath,scar tissue,apyrexial,no known drug allergies,pain,productive cough,throat sore,dyspnea,chest tightness,hypoxemia,tachypnea,sensory discomfort,fever,vomiting,rhonchus,hemiplegia,fremitus,,,,,,,,,,,
aphasia,clonus,egophony,facial paresis,aphagia,muscle twitch,paralyse,low back pain,charleyhorse,,,,,,,,,,,,,,,,,,,,
obesity  morbid,out of breath,sedentary,angina pectoris,cough,unhappy,labored breathing,hypothermia,natural,dyspnea,hematocrit decreased,wheezing,hypoxemia,renal angle tenderness,feels hot/feverish,,,,,,,,,,,,,,
pyelonephritis,fever,pain,urgency of micturition,hematuria,vomiting,chill,diarrhea,nausea,pain abdominal,myalgia,fever,chill,,,,,,,,,,,,,,,,
endocarditis,pleuritic pain,thicken,myalgia,apyrexial,night sweat,flare,shortness of breath,orthopnea,abscess bacterial,hypotension,cough,metastatic lesion,breath sounds decreased,decreased body weight,pulsus paradoxus,hypokinesia,,,,,,,,,,,,
pericardial effusion body substance,pericardial friction rub,dyspnea,shortness of breath,hemodynamically stable,cardiomegaly,hypotension,sputum purulent,facial paresis,pain,oliguria,blackout,intoxication,,,,,,,,,,,,,,,,
chronic  alcoholic intoxication,tremor,hallucinations auditory,suicidal,hoard,irritable mood,feeling hopeless,feeling suicidal,neologism,seizure,homelessness,sleeplessness,unconscious state,panic,breath sounds decreased,shortness of breath,,,,,,,,,,,,,
pneumothorax,dyspnea,cardiovascular event,haemoptysis,cough,hypercapnia,soft tissue swelling,prostatism,agitation,,,,,,,,,,,,,,,,,,,,
delirium,unsteady gait,withdraw,hyponatremia,verbally abusive behavior,feeling suicidal,unresponsiveness,worry,sleepy,hallucinations auditory,suicidal,fever,diarrhea,,,,,,,,,,,,,,,,
neutropenia,transaminitis,splenomegaly,night sweat,apyrexial,lesion,snuffle,chill,cough,monoclonal,hypocalcemia result,oliguria,rhd positive,distress respiratory,,,,,,,,,,,,,,,
hyperbilirubinemia,cyanosis,tachypnea,para 1,bradycardia,breech presentation,cushingoid habitus,cough,myalgia,,,,,,,,,,,,,,,,,,,,
influenza,uncoordination,fever,pleuritic pain,snuffle,throat sore,malaise,debilitation,symptom aggravating factors,chill,scleral icterus,nasal flaring,dysuria,lip smacking,headache,sneeze,snore,green sputum,shortness of breath,distress respiratory,blackout,extreme exhaustion,,,,,,,
dependence,intoxication,tremor,agitation,suicidal,homelessness,prostatism,lethargy,seizure,muscle twitch,stuffy nose,feeling hopeless,heavy legs,rale,,,,,,,,,,,,,,,
thrombus,hypokinesia,anorexia,hypertonicity,shortness of breath,hypoalbuminemia,pruritus,sore to touch,hemodynamically stable,facial paresis,vomiting,stool color yellow,,,,,,,,,,,,,,,,,
cholecystitis,moan,nausea,pain abdominal,Murphy's sign,flatulence,colic abdominal,pain,ascites,diarrhea,qt interval prolonged,cardiovascular event,groggy,sinus rhythm,gasping for breath,constipation,feces in rectum,abnormally hard consistency,,,,,,,,,,,
hernia  hiatal,pain abdominal,fatigability,prodrome,vomiting,nausea,myalgia,hyponatremia,sore to touch,general discomfort,dyspnea on exertion,asterixis,guaiac positive,numbness of hand,headache,photophobia,,,,,,,,,,,,,
migraine  disorders,ambidexterity,vomiting,dizziness,numbness,nausea,fever,splenomegaly,,,,,,,,,,,,,,,,,,,,,
pancytopenia,hypoproteinemia,fatigue,haemorrhage,fatigability,cushingoid habitus,stool color yellow,colic abdominal,,,,,,,,,,,,,,,,,,,,,
biliary  calculus,vomiting,nausea,pain abdominal,pain,cushingoid habitus,ascites,thicken,sore to touch,diarrhea,apyrexial,palpitation,,,,,,,,,,,,,,,,,
tachycardia  sinus,left atrial hypertrophy,sweating increased,alcohol binge episode,pressure chest,scar tissue,cardiovascular event,orthostasis,shortness of breath,t wave inverted,vomiting,pain abdominal,,,,,,,,,,,,,,,,,
ileus,abscess bacterial,abdomen acute,air fluid level,catching breath,abdominal tenderness,nausea,sore to touch,flatulence,diarrhea,mass of body structure,apyrexial,constipation,thicken,gravida 0,pain abdominal,,,,,,,,,,,,,
adhesion,flatulence,pain,large-for-dates fetus,para 1,vomiting,lung nodule,breech presentation,shortness of breath,decreased body weight,immobile,unsteady gait,hallucinations visual,feeling suicidal,,,,,,,,,,,,,,,
delusion,loose associations,giddy mood,feeling hopeless,agitation,hallucinations auditory,irritable mood,sleeplessness,neologism,homicidal thoughts,disturbed family,worry,decompensation,verbally abusive behavior,catatonia,suicidal,terrify,blackout,weepiness,impaired cognition,irritable mood,agitation,,,,,,,
affect  labile,extreme exhaustion,sleeplessness,enuresis,patient non compliance,feeling hopeless,hallucinations visual,bedridden,prostatism,,,,,,,,,,,,,,,,,,,,
decubitus  ulcer,systolic murmur,frail,fever,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,nodal skin eruptions,dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,nodal skin eruptions,dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,dischromic  patches,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,itching,skin rash,nodal skin eruptions,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,shivering,chills,watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,chills,watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,watering from eyes,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,continuous sneezing,shivering,chills,,,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,chest pain,,,,,,,,,,,,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,,,,,,,,,,,,,,,,,,,,,,,
GERD,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,abdominal pain,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,stomach pain,burning micturition,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,burning micturition,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning micturition,,,,,,,,,,,,,,,,,,,,,,,,
Drug Reaction,skin rash,stomach pain,burning micturition,spotting  urination,,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss of appetite,abdominal pain,passage of gases,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal pain,passage of gases,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,passage of gases,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,internal itching,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,high fever,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,extra marital contacts,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,
Diabetes ,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,obesity,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,excessive hunger,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,increased appetite,polyuria,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,,,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,cough,high fever,breathlessness,family history,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,high fever,breathlessness,family history,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,breathlessness,family history,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,family history,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,mucoid sputum,,,,,,,,,,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,,,,,,,,,,,,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,
Hypertension ,chest pain,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension ,headache,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension ,headache,chest pain,loss of balance,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,lack of concentration,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,
Migraine,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,stiff neck,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,depression,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,irritability,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,visual disturbances,,,,,,,,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,neck pain,dizziness,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,dizziness,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,loss of balance,,,,,,,,,,,,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,,,,,,,,,,,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,,,,,,,,,,,,,,,,,,,,,,,,
